"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"212",12,"Evan McPherson",CIN,"K2","7","24","3 out of 5 stars","+40"
"213",12,"Jake Ferguson",DAL,"TE29","7","24","3 out of 5 stars","+52"
"214",12,"Zonovan Knight",DET,"RB65","9","22","4 out of 5 stars","+25"
"215",12,"Irv Smith Jr.",CIN,"TE30","7","25","2 out of 5 stars","-3"
"216",12,"Joshua Kelley",LAC,"RB66","5","26","5 out of 5 stars","+51"
"217",12,"Tyler Bass",BUF,"K3","13","26","3 out of 5 stars","+41"
"218",12,"Denver Broncos",DEN,"DST8","9","-","3 out of 5 stars","-"
"219",12,"Rashid Shaheed",NO,"WR83","11","25","4 out of 5 stars","0"
"220",12,"Desmond Ridder",ATL,"QB30","11","24","4 out of 5 stars","+37"
"221",12,"Joshua Palmer",LAC,"WR84","5","24","3 out of 5 stars","-19"
"222",12,"Cedric Tillman",CLE,"WR85","5","23","2 out of 5 stars","-93"
"223",12,"Daniel Carlson",LV,"K4","13","28","3 out of 5 stars","+32"
"224",12,"Chuba Hubbard",CAR,"RB67","7","24","2 out of 5 stars","-46"
"225",12,"Cincinnati Bengals",CIN,"DST9","7","-","0 out of 5 stars","-"
"226",12,"Deuce Vaughn",DAL,"RB68","7","22","3 out of 5 stars","-35"
"227",12,"Tutu Atwell",LAR,"WR86","10","24","3 out of 5 stars","-"
"228",12,"Ezekiel Elliott",NE,"RB69","11","28","5 out of 5 stars","-100"
"229",12,"D'Ernest Johnson",JAC,"RB70","9","27","3 out of 5 stars","-"
"230",12,"Miami Dolphins",MIA,"DST10","10","-","5 out of 5 stars","-"
"231",12,"Kansas City Chiefs",KC,"DST11","10","-","4 out of 5 stars","-"
"232",12,"Harrison Butker",KC,"K5","10","28","4 out of 5 stars","+28"
"233",12,"Pittsburgh Steelers",PIT,"DST12","6","-","2 out of 5 stars","-"
"234",12,"Juwan Johnson",NO,"TE31","11","27","3 out of 5 stars","-23"
"235",12,"Mike Gesicki",NE,"TE32","11","28","3 out of 5 stars","-54"
"236",12,"Greg Zuerlein",NYJ,"K6","7","35","1 out of 5 stars","-"
"237",12,"Tampa Bay Buccaneers",TB,"DST13","5","-","3 out of 5 stars","-"
"238",12,"Kareem Hunt",CLE,"RB71","5","28","2 out of 5 stars","-75"
